epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3571.56,0.90187,1.02224,1.18877,0.74652,0.60813,0.68665,0.48143,1.03022,1.04932,1.11371,0.0004952,0.0004952,0.0004952
78,3619.54,0.89585,1.01821,1.18816,0.73938,0.58211,0.66899,0.46816,1.03773,1.0956,1.11921,0.0004754,0.0004754,0.0004754
79,3667.49,0.8688,0.9825,1.17677,0.7452,0.60394,0.68711,0.48938,1.03445,1.02567,1.12161,0.0004556,0.0004556,0.0004556
80,3715.53,0.89454,1.00446,1.18218,0.74783,0.60976,0.67808,0.47924,1.06444,1.03874,1.13374,0.0004358,0.0004358,0.0004358
81,3761.77,0.89948,0.99336,1.18248,0.70627,0.60813,0.66971,0.47035,1.03478,1.06676,1.11542,0.000416,0.000416,0.000416
82,3808.64,0.89071,1.00881,1.18496,0.71132,0.59512,0.66605,0.45828,1.08952,1.07226,1.13977,0.0003962,0.0003962,0.0003962
83,3854.79,0.87791,0.99158,1.17686,0.73809,0.60485,0.68681,0.48695,1.04018,1.02988,1.11312,0.0003764,0.0003764,0.0003764
84,3901.19,0.88168,0.98229,1.17684,0.74506,0.60349,0.67749,0.47781,1.05482,1.04463,1.1236,0.0003566,0.0003566,0.0003566
85,3948.15,0.88462,0.97526,1.18121,0.74772,0.59759,0.6814,0.47717,1.05296,1.05033,1.12343,0.0003368,0.0003368,0.0003368
86,3995.21,0.87164,0.97909,1.17309,0.7417,0.60698,0.68663,0.48565,1.01715,1.02908,1.10673,0.000317,0.000317,0.000317
87,4041.9,0.86258,0.97178,1.168,0.74305,0.60488,0.68539,0.48615,1.01968,1.04007,1.10623,0.0002972,0.0002972,0.0002972
88,4088.73,0.87565,0.98686,1.17371,0.75808,0.61138,0.68811,0.48503,1.02173,1.03316,1.11087,0.0002774,0.0002774,0.0002774
89,4136.09,0.8639,0.96773,1.17008,0.74308,0.6065,0.68897,0.4938,1.01144,1.00618,1.08997,0.0002576,0.0002576,0.0002576
90,4183.71,0.87211,0.95467,1.1751,0.73381,0.61858,0.69196,0.49365,1.01524,1.01167,1.10001,0.0002378,0.0002378,0.0002378
91,4248.53,1.01119,1.0659,1.25836,0.78599,0.5912,0.686,0.48113,1.03887,1.0255,1.10516,0.000218,0.000218,0.000218
92,4295.47,0.95066,0.9465,1.21495,0.77945,0.59188,0.69015,0.49526,1.02112,1.01632,1.09306,0.0001982,0.0001982,0.0001982
93,4341.27,0.91697,0.92686,1.193,0.72412,0.64018,0.69506,0.49608,1.0268,1.00094,1.09848,0.0001784,0.0001784,0.0001784
94,4387.99,0.91437,0.90797,1.18586,0.72674,0.63577,0.69495,0.49678,1.00859,1.00666,1.07948,0.0001586,0.0001586,0.0001586
95,4434.58,0.90179,0.88355,1.18115,0.7851,0.60325,0.69691,0.5022,1.01144,0.97818,1.08457,0.0001388,0.0001388,0.0001388
96,4480.69,0.91731,0.902,1.19137,0.76664,0.60976,0.69499,0.50259,1.00361,0.98465,1.07581,0.000119,0.000119,0.000119
97,4527.01,0.89327,0.9023,1.17044,0.78729,0.60976,0.7028,0.51074,0.99169,0.96905,1.07118,9.92e-05,9.92e-05,9.92e-05
98,4572.87,0.89564,0.89133,1.17674,0.79244,0.62079,0.7073,0.50557,1.0041,0.96671,1.07447,7.94e-05,7.94e-05,7.94e-05
99,4618.57,0.88916,0.87023,1.17546,0.79057,0.60767,0.70552,0.5106,0.99663,0.95604,1.07156,5.96e-05,5.96e-05,5.96e-05
100,4663.84,0.88451,0.88417,1.16984,0.76777,0.61138,0.70121,0.51458,0.97993,0.95379,1.06605,3.98e-05,3.98e-05,3.98e-05
